study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12T00:00:00Z,38.2,18.1,185,3950,MALE,8.43423,-25.22664,NA
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10T00:00:00Z,38.8,17.2,180,3800,MALE,9.63954,-25.29856,NA
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10T00:00:00Z,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12T00:00:00Z,40.6,18.6,183,3550,MALE,8.93997,-25.36288,NA
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12T00:00:00Z,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448,NA
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,2007-11-10T00:00:00Z,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,2007-11-10T00:00:00Z,40.5,18.9,180,3950,MALE,8.90027,-25.11609,Nest never observed with full clutch.
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09T00:00:00Z,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,NA
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09T00:00:00Z,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09T00:00:00Z,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09T00:00:00Z,40.9,18.9,184,3900,MALE,8.79665,-25.14591,NA
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16T00:00:00Z,36.4,17,195,3325,FEMALE,9.17847,-25.23061,NA
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16T00:00:00Z,39.2,21.1,196,4150,MALE,9.15308,-25.03469,NA
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16T00:00:00Z,38.8,20,190,3950,MALE,9.18985,-25.12255,NA
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16T00:00:00Z,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,NA
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13T00:00:00Z,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13T00:00:00Z,39.8,19.1,184,4650,MALE,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16T00:00:00Z,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16T00:00:00Z,40.8,18.4,195,3900,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19T00:00:00Z,36,18.5,186,3100,FEMALE,9.50772,-25.03492,NA
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19T00:00:00Z,44.1,19.7,196,4400,MALE,9.2372,-24.52698,NA
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16T00:00:00Z,37,16.9,185,3000,FEMALE,9.36392,-25.01745,NA
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16T00:00:00Z,39.6,18.8,190,4600,MALE,9.49106,-24.10255,NA
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13T00:00:00Z,41.1,19,182,3425,MALE,NA,NA,Not enough blood for isotopes.
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13T00:00:00Z,37.5,18.9,179,2975,NA,NA,NA,Sexing primers did not amplify. Not enough blood for isotopes.
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13T00:00:00Z,36,17.9,190,3450,FEMALE,9.51784,-25.07683,NA
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13T00:00:00Z,42.3,21.2,191,4150,MALE,8.87988,-25.18543,NA
PAL0809,69,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,2008-11-11T00:00:00Z,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
PAL0809,70,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,2008-11-11T00:00:00Z,41.8,19.4,198,4450,MALE,8.86853,-26.06209,Nest never observed with full clutch.
PAL0809,71,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14T00:00:00Z,33.5,19,190,3600,FEMALE,7.88863,-26.63085,NA
PAL0809,72,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14T00:00:00Z,39.7,18.4,190,3900,MALE,9.29808,-25.23453,NA
PAL0809,73,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11T00:00:00Z,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351,NA
PAL0809,74,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11T00:00:00Z,45.8,18.9,197,4150,MALE,8.18658,-26.45978,NA
PAL0809,75,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08T00:00:00Z,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003,NA
PAL0809,76,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08T00:00:00Z,42.8,18.5,195,4250,MALE,8.2993,-26.38986,NA
PAL0809,77,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06T00:00:00Z,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002,NA
PAL0809,78,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06T00:00:00Z,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09T00:00:00Z,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382,NA
PAL0809,80,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09T00:00:00Z,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02T00:00:00Z,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387,NA
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02T00:00:00Z,42.9,17.6,196,4700,MALE,8.63259,-26.23027,NA
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07T00:00:00Z,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837,NA
PAL0809,84,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07T00:00:00Z,35.1,19.4,193,4200,MALE,8.90002,-26.46254,NA
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17T00:00:00Z,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,NA
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17T00:00:00Z,41.3,20.3,194,3550,MALE,9.14863,-26.09635,NA
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08T00:00:00Z,36.3,19.5,190,3800,MALE,8.57087,-26.22227,NA
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08T00:00:00Z,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165,NA
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08T00:00:00Z,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08T00:00:00Z,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,NA
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14T00:00:00Z,35.7,18,202,3550,FEMALE,8.46531,-26.05621,NA
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14T00:00:00Z,41.1,18.1,205,4300,MALE,8.77018,-25.83352,NA
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05T00:00:00Z,34,17.1,185,3400,FEMALE,8.01485,-26.695430000000002,NA
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05T00:00:00Z,39.6,18.1,186,4450,MALE,8.49915,-26.42406,NA
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17T00:00:00Z,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17T00:00:00Z,40.8,18.9,208,4300,MALE,8.48204,-26.57941,NA
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08T00:00:00Z,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086,NA
PAL0809,98,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08T00:00:00Z,40.3,18.5,196,4350,MALE,8.3945900000000009,-26.01152,NA
PAL0809,99,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10T00:00:00Z,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA
PAL0809,100,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,2008-11-10T00:00:00Z,43.2,18.5,192,4100,MALE,8.97025,-26.03679,NA
PAL0910,101,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2009-11-09T00:00:00Z,35,17.9,192,3725,FEMALE,8.84451,-26.28055,NA
PAL0910,102,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2009-11-09T00:00:00Z,41,20,203,4725,MALE,9.01079,-26.38085,NA
PAL0910,105,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,2009-11-15T00:00:00Z,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,NA
PAL0910,106,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2009-11-15T00:00:00Z,39.7,18.9,184,3550,MALE,8.85699,-25.80208,NA
PAL0910,107,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2009-11-15T00:00:00Z,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
PAL0910,108,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2009-11-15T00:00:00Z,38.2,20,190,3900,MALE,9.59245,-25.70711,NA
PAL0910,109,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2009-11-20T00:00:00Z,38.1,17,181,3175,FEMALE,9.79532,-25.27385,NA
PAL0910,110,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2009-11-20T00:00:00Z,43.2,19,197,4775,MALE,9.31735,-25.45171,NA
PAL0910,111,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2009-11-12T00:00:00Z,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
PAL0910,112,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2009-11-12T00:00:00Z,45.6,20.3,191,4600,MALE,8.65466,-26.32909,NA
PAL0910,113,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2009-11-15T00:00:00Z,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203,NA
PAL0910,114,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2009-11-15T00:00:00Z,42.2,19.5,197,4275,MALE,8.80186,-26.41218,NA
PAL0910,115,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,2009-11-17T00:00:00Z,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958,NA
PAL0910,116,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,2009-11-17T00:00:00Z,42.7,18.3,196,4075,MALE,8.91434,-26.42018,NA
PAL0910,117,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,2009-11-18T00:00:00Z,38.6,17,188,2900,FEMALE,9.18021,-25.77264,NA
PAL0910,118,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,2009-11-18T00:00:00Z,37.3,20.5,199,3775,MALE,9.49645,-26.36678,NA
PAL0910,119,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,2009-11-22T00:00:00Z,35.7,17,189,3350,FEMALE,8.96436,-23.90309,NA
PAL0910,120,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,2009-11-22T00:00:00Z,41.1,18.6,189,3325,MALE,9.32277,-26.09989,NA
PAL0910,121,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,2009-11-17T00:00:00Z,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
PAL0910,122,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,2009-11-17T00:00:00Z,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.
PAL0910,123,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,2009-11-16T00:00:00Z,40.2,17,176,3450,FEMALE,9.30722,-25.61039,NA
PAL0910,124,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,2009-11-16T00:00:00Z,41.4,18.5,202,3875,MALE,9.59462,-25.42621,NA
PAL0910,125,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,2009-11-18T00:00:00Z,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
PAL0910,126,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,2009-11-18T00:00:00Z,40.6,19,199,4000,MALE,9.22537,-25.60826,NA
PAL0910,127,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,2009-11-21T00:00:00Z,38.8,17.6,191,3275,FEMALE,8.88098,-25.89741,NA
PAL0910,128,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,2009-11-21T00:00:00Z,41.5,18.3,195,4300,MALE,8.52566,-26.0245,NA
PAL0910,129,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,2009-11-18T00:00:00Z,39,17.1,191,3050,FEMALE,9.19031,-25.73722,NA
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N72A2,Yes,2009-11-18T00:00:00Z,44.1,18,210,4000,MALE,9.10702,-26.01363,NA
PAL0910,131,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N73A1,No,2009-11-23T00:00:00Z,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.
PAL0910,132,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N73A2,No,2009-11-23T00:00:00Z,43.1,19.2,197,3500,MALE,8.86495,-26.1396,Nest never observed with full clutch.
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,2009-11-10T00:00:00Z,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,NA
PAL0910,134,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,2009-11-10T00:00:00Z,37.5,18.5,199,4475,MALE,8.56708,-26.49288,NA
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,2009-11-13T00:00:00Z,38.1,17.6,187,3425,FEMALE,8.717,-25.77951,NA
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,2009-11-13T00:00:00Z,41.1,17.5,190,3900,MALE,8.94365,-26.06943,NA
PAL0910,137,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,2009-11-16T00:00:00Z,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696,NA
PAL0910,138,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,2009-11-16T00:00:00Z,40.2,20.1,200,3975,MALE,8.95998,-26.32601,NA
PAL0910,139,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,2009-11-16T00:00:00Z,37,16.5,185,3400,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.
PAL0910,140,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N79A2,No,2009-11-16T00:00:00Z,39.7,17.9,193,4250,MALE,9.25769,-25.88798,Nest never observed with full clutch.
PAL0910,141,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,2009-11-14T00:00:00Z,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976,NA
PAL0910,142,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,2009-11-14T00:00:00Z,40.6,17.2,187,3475,MALE,9.23408,-26.01549,NA
PAL0910,143,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,2009-11-16T00:00:00Z,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA
PAL0910,144,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N81A2,Yes,2009-11-16T00:00:00Z,40.7,17,190,3725,MALE,9.05674,-25.79529,NA
